Hash|Código de país|Name_country|Región
7155867011939792468|ABW|Aruba|América Latina y Caribe
7155867011939792468|ABW|Aruba|América Latina y Caribe
7155867011939792468|ABW|Aruba|América Latina y Caribe
7155867011939792468|ABW|Aruba|América Latina y Caribe
7155867011939792468|ABW|Aruba|América Latina y Caribe
7155867011939792468|ABW|Aruba|América Latina y Caribe
7155867011939792468|ABW|Aruba|América Latina y Caribe
7155867011939792468|ABW|Aruba|América Latina y Caribe
7155867011939792468|ABW|Aruba|América Latina y Caribe
7155867011939792468|ABW|Aruba|América Latina y Caribe
7155867011939792468|ABW|Aruba|América Latina y Caribe
7155867011939792468|ABW|Aruba|América Latina y Caribe
7155867011939792468|ABW|Aruba|América Latina y Caribe
7155867011939792468|ABW|Aruba|América Latina y Caribe
7155867011939792468|ABW|Aruba|América Latina y Caribe
7155867011939792468|ABW|Aruba|América Latina y Caribe
7155867011939792468|ABW|Aruba|América Latina y Caribe
7155867011939792468|ABW|Aruba|América Latina y Caribe
7155867011939792468|ABW|Aruba|América Latina y Caribe
7155867011939792468|ABW|Aruba|América Latina y Caribe
7155867011939792468|ABW|Aruba|América Latina y Caribe
7155867011939792468|ABW|Aruba|América Latina y Caribe
7155867011939792468|ABW|Aruba|América Latina y Caribe
7155867011939792468|ABW|Aruba|América Latina y Caribe
7155867011939792468|ABW|Aruba|América Latina y Caribe
7155867011939792468|ABW|Aruba|América Latina y Caribe
-2056737604118145671|AND|Andorra|Europa y Asia Central
-2056737604118145671|AND|Andorra|Europa y Asia Central
-2056737604118145671|AND|Andorra|Europa y Asia Central
-2056737604118145671|AND|Andorra|Europa y Asia Central
-2056737604118145671|AND|Andorra|Europa y Asia Central
-2056737604118145671|AND|Andorra|Europa y Asia Central
-2056737604118145671|AND|Andorra|Europa y Asia Central
-2056737604118145671|AND|Andorra|Europa y Asia Central
-2056737604118145671|AND|Andorra|Europa y Asia Central
-2056737604118145671|AND|Andorra|Europa y Asia Central
-2056737604118145671|AND|Andorra|Europa y Asia Central
-2056737604118145671|AND|Andorra|Europa y Asia Central
-2056737604118145671|AND|Andorra|Europa y Asia Central
-2056737604118145671|AND|Andorra|Europa y Asia Central
-2056737604118145671|AND|Andorra|Europa y Asia Central
-2056737604118145671|AND|Andorra|Europa y Asia Central
-2056737604118145671|AND|Andorra|Europa y Asia Central
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-8100820384784701868|AFG|Afganistán|Sur de Asia
-3454393769743845116|AGO|Angola|África subsahariana
-3454393769743845116|AGO|Angola|África subsahariana
-3454393769743845116|AGO|Angola|África subsahariana
-3454393769743845116|AGO|Angola|África subsahariana
-3454393769743845116|AGO|Angola|África subsahariana
-3454393769743845116|AGO|Angola|África subsahariana
-3454393769743845116|AGO|Angola|África subsahariana
-3454393769743845116|AGO|Angola|África subsahariana
-3454393769743845116|AGO|Angola|África subsahariana
